,Sequence,Z0,Z1
446,BAABABAABBABBABAAAAA,4.7983356,8.841389
447,BAABABAABBBBAAAABAAA,6.457279,7.0616956
448,BAABABABAABAABABAAAB,9.430784,1.9073923
449,BAABABABABABAAAABBAA,7.515259,4.034891
450,BAABABABBBABBAAAAAAA,3.1938088,9.040402
451,BAABABBAAAAAAABABBBA,3.9339063,8.927395
452,BAABABBAAABAAABAABBA,7.598605,4.120303
453,BAABABBAAABABAAABABA,8.361078,3.2092352
454,BAABABBAABAAAABABABA,8.029876,3.3092613
455,BAABABBABAAAAAABABBA,4.810567,8.896644
456,BAABABBABAABAAAAABBA,7.0474606,5.4580874
457,BAABABBABAABBAAAAAAB,4.9713807,8.828871
458,BAABABBABABABAAAAABA,5.9117975,4.817905
459,BAABABBBAAAAABABABAA,8.592091,8.047856
460,BAABABBBAAAABAAABBAA,6.2008667,5.830894
461,BAABABBBAAAABABABAAA,6.9332952,5.49175
462,BAABABBBAABAAAAABBAA,8.058354,7.7534814
463,BAABABBBAABABABAAAAA,4.7626023,8.8280115
464,BAABABBBABAABABAAAAA,3.8842404,8.987564
465,BAABABBBABAABBAAAAAA,3.790823,8.966279
466,BAABBAAAAAABBBAAABBA,9.514777,9.085815
467,BAABBAAAABBAAABBAABA,8.36922,5.46236
468,BAABBAAABABAABAAABBA,8.315505,3.8357341
469,BAABBAAABABAABBABAAA,8.163393,7.2834077
470,BAABBAAABABBAAAAABBA,10.018328,9.445612
471,BAABBAAABBAABAABABAA,8.399458,3.3272462
